Date,Price
2021-06-23 22:06:00,33465.058359
2021-06-23 22:06:00,33490.586
2021-06-23 22:07:00,33490.913804
2021-06-23 22:07:00,33476.530777
2021-06-23 22:07:00,33476.530777
2021-06-23 22:07:00,33476.530777
2021-06-23 22:07:00,33476.530777
2021-06-23 22:09:00,33465.897076
2021-06-23 22:09:00,33465.897076
2021-06-23 22:10:00,33450.796735
2021-06-23 22:10:00,33450.796735
2021-06-23 22:10:00,33450.796735
2021-06-23 22:10:00,33450.796735
2021-06-23 22:10:00,33450.796735
2021-06-23 22:13:00,33459.300869
2021-06-23 22:13:00,33463.035033
2021-06-23 22:14:00,33465.187699
2021-06-23 22:15:00,33473.44773
2021-06-23 22:15:00,33483.715942
2021-06-23 22:16:00,33481.763283
2021-06-23 22:16:00,33505.896681
2021-06-23 22:17:00,33543.178465
2021-06-23 22:17:00,33541.876957
2021-06-23 22:18:00,33543.106569
2021-06-23 22:18:00,33544.466817
2021-06-23 22:19:00,33530.213028
2021-06-23 22:19:00,33509.134822
2021-06-23 22:20:00,33512.078688
2021-06-23 22:20:00,33500.406542
2021-06-23 22:21:00,33476.507985
2021-06-23 22:21:00,33464.54568
2021-06-23 22:22:00,33456.632991
2021-06-23 22:22:00,33439.985405
2021-06-23 22:23:00,33429.66844
2021-06-23 22:23:00,33417.457874
2021-06-23 22:24:00,33401.165363
2021-06-23 22:24:00,33411.972474
2021-06-23 22:25:00,33414.783896
2021-06-23 22:25:00,33416.557536
2021-06-23 22:26:00,33433.582975
2021-06-23 22:26:00,33442.388011
2021-06-23 22:27:00,33446.379071
2021-06-23 22:27:00,33455.527057
2021-06-23 22:28:00,33418.916987
2021-06-23 22:28:00,33384.246649
2021-06-23 22:29:00,33370.156508
2021-06-23 22:29:00,33360.926005
2021-06-23 22:30:00,33345.094263
2021-06-23 22:30:00,33329.261179
2021-06-23 22:31:00,33335.1912
2021-06-23 22:31:00,33346.250998
2021-06-23 22:32:00,33335.342252
2021-06-23 22:32:00,33335.342252
2021-06-23 22:33:00,33352.211489
2021-06-23 22:33:00,33355.889403
2021-06-23 22:34:00,33335.313407
2021-06-23 22:34:00,33335.313407
2021-06-23 22:34:00,33328.513868
2021-06-23 22:34:00,33328.513868
2021-06-23 22:36:00,33335.699078
2021-06-23 22:36:00,33340.344442
2021-06-23 22:37:00,33364.230113
2021-06-23 22:38:00,33380.066519
2021-06-23 22:38:00,33360.428767
2021-06-23 22:38:00,33344.18043
2021-06-23 22:39:00,33330.353316
2021-06-23 22:40:00,33324.335226
2021-06-23 22:40:00,33326.00573
2021-06-23 22:40:00,33326.00573
2021-06-23 22:40:00,33326.00573
2021-06-23 22:40:00,33326.00573
2021-06-23 22:41:00,33364.347765
2021-06-23 22:41:00,33364.347765
2021-06-23 22:43:00,33334.087362
2021-06-23 22:44:00,33313.068153
2021-06-23 22:44:00,33284.523263
2021-06-23 22:45:00,33283.857659
2021-06-23 22:45:00,33279.288181
2021-06-23 22:46:00,33267.59658
2021-06-23 22:46:00,33252.649116
2021-06-23 22:47:00,33215.792286
2021-06-23 22:47:00,33200.763579
2021-06-23 22:48:00,33197.105245
2021-06-23 22:48:00,33188.970794
2021-06-23 22:49:00,33186.654161
2021-06-23 22:49:00,33201.155926
2021-06-23 22:50:00,33200.911078
2021-06-23 22:50:00,33194.04336
2021-06-23 22:50:00,33194.04336
2021-06-23 22:51:00,33175.643186
2021-06-23 22:51:00,33175.643186
2021-06-23 22:51:00,33175.643186
2021-06-23 22:52:00,33163.301718
2021-06-23 22:53:00,33128.821158
2021-06-23 22:54:00,33145.882303
2021-06-23 22:54:00,33147.035504
2021-06-23 22:55:00,33130.825625
2021-06-23 22:55:00,33123.709352
2021-06-23 22:56:00,33067.826725
2021-06-23 22:57:00,33027.423169
2021-06-23 22:57:00,33023.315784
2021-06-23 22:58:00,32997.17075
2021-06-23 22:58:00,32993.940768
2021-06-23 22:59:00,33002.838188
2021-06-23 22:59:00,32995.252272
2021-06-23 22:59:00,32986.643453
2021-06-23 23:00:00,32978.466836
2021-06-23 23:00:00,33011.87055
2021-06-23 23:01:00,33044.06413
2021-06-23 23:02:00,33057.952091
2021-06-23 23:02:00,33100.414798
2021-06-23 23:03:00,33107.451524
2021-06-23 23:03:00,33087.512535
2021-06-23 23:04:00,33000.1885
2021-06-23 23:04:00,32951.987146
2021-06-23 23:04:00,32939.360122
2021-06-23 23:05:00,32874.713151
2021-06-23 23:05:00,32874.713151
2021-06-23 23:05:00,32874.713151
2021-06-23 23:06:00,32924.986944
2021-06-23 23:07:00,33051.696431
2021-06-23 23:08:00,33081.171844
2021-06-23 23:08:00,33081.171844
2021-06-23 23:08:00,33094.055671
2021-06-23 23:09:00,33125.559637
2021-06-23 23:10:00,33117.652547
2021-06-23 23:10:00,33117.652547
2021-06-23 23:10:00,33117.652547
2021-06-23 23:10:00,33117.652547
2021-06-23 23:10:00,33117.652547
2021-06-23 23:10:00,33117.652547
2021-06-23 23:10:00,33117.652547
2021-06-23 23:13:00,33211.926605
2021-07-04 21:53:00,35472.770857
2021-07-04 21:54:00,35489.343918
2021-07-04 21:54:00,35489.83482
2021-07-04 21:55:00,35495.844109
2021-07-04 21:56:00,35496.14743
2021-07-04 21:56:00,35497.711591
2021-07-04 21:57:00,35496.841479
2021-07-04 21:57:00,35490.933176
2021-07-04 21:58:00,35489.451857
2021-07-04 21:58:00,35488.510061
2021-07-04 21:59:00,35487.489021
2021-07-04 21:59:00,35487.437899
2021-07-04 22:00:00,35490.552033
2021-07-04 22:00:00,35496.727152
2021-07-04 22:01:00,35502.546956
2021-07-04 22:01:00,35498.79928
2021-07-04 22:02:00,35492.382777
2021-07-04 22:02:00,35485.371083
2021-07-04 22:03:00,35483.249545
2021-07-04 22:03:00,35486.709668
2021-07-04 22:04:00,35495.085311
2021-07-04 22:05:00,35506.044615
2021-07-04 22:05:00,35509.584687
2021-07-04 22:06:00,35512.051332
2021-07-04 22:06:00,35510.405547
2021-07-04 22:07:00,35507.116767
2021-07-04 22:07:00,35499.946304
2021-07-04 22:08:00,35496.368894
2021-07-04 22:08:00,35490.302362
2021-07-04 22:08:00,35495.973714
2021-07-04 22:09:00,35498.733322
2021-07-04 22:09:00,35499.326247
2021-07-04 22:09:00,35499.326247
2021-07-04 22:09:00,35499.326247
2021-07-04 22:09:00,35499.326247
2021-07-04 22:11:00,35516.625484
2021-07-04 22:11:00,35516.625484
2021-07-04 22:11:00,35516.625484
2021-07-04 22:13:00,35522.198266
2021-07-04 22:14:00,35524.602226
2021-07-04 22:14:00,35523.628599
2021-07-04 22:15:00,35526.182854
