date,predicted_trend,actual_trend,predicted_rate,actual_rate
2021-06-20 19:47:24,Down,Up,0.00411,0.0
2021-06-20 19:49:01,Down,Down,0.011581,9.5e-05
2021-06-20 19:53:01,Up,Down,0.011062,0.000279
2021-06-20 19:54:01,Up,Up,0.013191,0.00035
2021-06-20 19:55:01,Up,Down,0.033426,0.000181
2021-06-20 19:57:01,Down,Up,0.011405,0.000495
2021-06-20 19:58:01,Up,Up,0.007542,0.000323
2021-06-20 19:59:01,Up,Up,0.000912,0.000378
2021-06-20 20:01:01,Up,Up,0.011648,0.0004
2021-06-20 20:03:01,Down,Down,0.000606,0.000414
2021-06-20 20:04:01,Down,Up,0.002823,2.7e-05
2021-06-20 20:05:01,Up,Down,0.00087,0.000674
2021-06-20 20:05:24,Down,Up,0.00245,0.0
2021-06-20 20:07:01,Down,Up,0.005179,0.000282
2021-06-20 20:09:01,Up,Down,0.004232,9.6e-05
2021-06-20 20:10:01,Up,Down,0.006274,0.000224
2021-06-20 20:11:01,Up,Up,0.065596,0.00044
2021-06-20 20:12:01,Down,Up,0.005942,0.000201
2021-06-20 20:13:01,Down,Up,0.005121,0.001003
2021-06-20 20:15:01,Up,Up,0.005395,0.000125
2021-06-20 20:16:01,Down,Up,0.008496,2.5e-05
2021-06-20 20:17:01,Down,Up,0.009217,0.00033
2021-06-20 20:18:01,Up,Up,0.00123,0.0
2021-06-20 20:18:46,Up,Up,0.019893,0.0
2021-06-20 20:20:01,Down,Up,0.001584,0.0
2021-06-20 20:20:24,Up,Up,0.005752,0.0
2021-06-20 20:22:10,Down,Up,0.021431,0.0
2021-06-20 20:22:29,Down,Up,0.017598,0.0
2021-06-20 20:22:48,Down,Up,0.008185,0.0
2021-06-20 20:24:01,Up,Up,0.013712,6.1e-05
2021-06-20 20:25:01,Up,Down,0.047808,0.000224
2021-06-20 20:26:01,Down,Up,0.007351,0.000123
2021-06-20 20:28:01,Up,Up,0.001612,0.000191
2021-06-20 20:29:01,Up,Up,0.008926,0.000776
2021-06-20 20:30:01,Up,Up,0.000263,0.0
2021-06-20 20:30:22,Down,Up,0.002347,0.0
2021-06-20 20:32:01,Up,Up,0.011466,0.000532
2021-06-20 20:34:01,Down,Up,0.003311,0.0
2021-06-20 20:34:23,Down,Up,0.007641,0.0
2021-06-20 20:34:46,Down,Down,0.0014,5.6e-05
2021-06-20 20:36:01,Up,Up,0.004295,0.000281
