date,predicted_trend,actual_trend,predicted_rate,actual_rate
2021-06-19 01:57:01,Down,Up,0.007454,0.000291

2021-06-19 01:59:01,Down,Up,0.011743,0.001164

2021-06-19 02:02:01,Up,Down,0.002435,0.000502

2021-06-19 02:05:01,Down,Down,0.017272,0.005449

2021-06-19 02:07:01,Up,Down,0.000987,0.000128

2021-06-19 02:10:01,Down,Down,0.004086,0.000396

2021-06-19 02:13:01,Up,Up,0.003026,0.000568

2021-06-19 02:15:01,Up,Down,0.009368,0.000737

2021-06-19 02:17:01,Down,Down,0.011011,0.000614

2021-06-19 02:19:01,Up,Up,0.003315,0.000504

2021-06-19 02:21:01,Down,Down,0.012584,0.000628

2021-06-19 02:23:01,Down,Up,0.007258,0.001072

2021-06-19 02:25:01,Up,Down,0.004765,0.000153

2021-06-19 02:27:01,Down,Up,0.015895,0.001063

2021-06-19 02:28:01,Up,Up,0.004556,0.001224

2021-06-19 02:28:52,Down,Up,0.008996,0.000315

2021-06-19 02:31:01,Up,Up,0.013859,0.000828

2021-06-19 02:33:01,Up,Up,0.01614,0.001838

2021-06-19 02:35:01,Up,Up,0.022125,0.000711

2021-06-19 02:37:01,Down,Down,0.004798,6e-06

2021-06-19 02:38:01,Down,Down,0.021789,4.2e-05

2021-06-19 02:40:01,Down,Up,0.020897,0.002654

2021-06-19 02:42:01,Up,Down,0.012715,0.00101

2021-06-19 02:44:01,Up,Down,0.020139,0.000133

2021-06-19 02:46:01,Up,Up,0.011263,0.00022

2021-06-19 02:48:01,Up,Down,0.013712,0.001127

2021-06-19 02:50:01,Down,Down,0.011828,0.000521

2021-06-19 02:52:01,Down,Down,0.003709,0.001908

2021-06-19 02:53:01,Down,Up,0.006743,0.000396

2021-06-19 02:53:52,Up,Down,0.011602,9e-06

2021-06-19 02:55:01,Down,Up,0.006752,0.000348

2021-06-19 02:57:01,Up,Up,0.017035,0.000656

2021-06-19 02:58:01,Down,Down,0.001691,0.000164

2021-06-19 02:58:52,Down,Down,0.00274,1.1e-05

2021-06-19 03:01:01,Down,Down,0.003556,0.001281

2021-06-19 03:03:01,Up,Up,0.001509,0.000496

2021-06-19 03:05:01,Up,Up,0.00983,0.000961

2021-06-19 03:07:01,Down,Up,0.003877,0.000641

2021-06-19 03:09:01,Up,Up,0.009018,0.001115

2021-06-19 03:12:01,Down,Up,0.002649,0.001468

2021-06-19 03:14:01,Down,Up,0.001034,0.000954

2021-06-19 03:16:01,Down,Down,0.007373,0.001611

2021-06-19 03:18:01,Up,Down,0.013144,0.001661

2021-06-19 03:20:01,Down,Up,7.2e-05,0.000776

2021-06-19 03:22:01,Down,Down,0.030781,0.000113

2021-06-19 03:23:01,Down,Down,0.010532,9.6e-05

2021-06-19 03:23:52,Down,Up,0.004002,3.1e-05

2021-06-19 03:26:01,Down,Up,0.003975,0.00049

2021-06-19 03:28:01,Down,Up,0.010824,0.000571

2021-06-19 03:30:01,Down,Up,0.00015,0.000924

2021-06-19 03:32:01,Down,Down,0.005164,0.001615

2021-06-19 03:33:01,Down,Down,0.000958,0.000141

2021-06-19 03:36:01,Down,Down,0.018795,0.000448

2021-06-19 03:39:01,Down,Up,0.007982,0.000386

2021-06-19 03:41:01,Down,Down,0.006091,0.000865

2021-06-19 03:43:01,Down,Up,0.014118,5.4e-05

2021-06-19 03:45:01,Down,Up,0.004261,0.000346

2021-06-19 03:47:01,Down,Up,0.043185,0.000867

2021-06-19 03:49:01,Up,Down,0.001835,0.000551

2021-06-19 03:51:01,Down,Down,0.001326,0.000597

2021-06-19 03:51:52,Up,Down,0.003818,3.8e-05

2021-06-19 03:54:01,Down,Down,0.016398,0.000129

2021-06-19 03:56:01,Down,Down,0.016192,0.000103

2021-06-19 03:56:52,Down,Up,0.016101,6.9e-05

2021-06-19 03:59:01,Up,Down,0.013108,0.000138

2021-06-19 04:01:01,Down,Up,0.021592,0.002039

2021-06-19 04:03:01,Up,Up,0.014166,0.000645

2021-06-19 04:03:52,Up,Up,0.044085,0.000141

2021-06-19 04:04:41,Up,Up,0.006227,4.8e-05

2021-06-19 04:07:01,Up,Down,0.002517,0.000254

2021-06-19 04:09:01,Down,Up,0.002056,0.000432

2021-06-19 04:10:01,Up,Down,0.0144,0.000338

2021-06-19 04:12:01,Up,Up,0.014982,0.004421

2021-06-19 04:14:01,Down,Down,0.013312,0.000472

2021-06-19 04:16:01,Down,Down,0.001984,0.000625

2021-06-19 04:18:01,Down,Up,0.010253,0.000755

2021-06-19 04:20:01,Up,Up,0.002621,0.000747

2021-06-19 04:22:01,Down,Up,0.00685,4.9e-05

2021-06-19 04:23:01,Down,Up,0.000983,7e-05

2021-06-19 04:25:01,Down,Up,0.001574,0.000299

2021-06-19 04:27:01,Up,Down,0.032543,0.000459

2021-06-19 04:29:01,Down,Down,0.011844,0.000335

2021-06-19 04:31:01,Down,Up,0.015109,0.000298

2021-06-19 04:33:01,Down,Down,0.010247,0.000209

2021-06-19 04:35:01,Up,Up,0.025333,0.000369

2021-06-19 04:36:01,Down,Up,0.01221,3.5e-05

2021-06-19 04:36:52,Up,Down,0.005802,4e-06

2021-06-19 04:39:01,Up,Down,0.003977,0.000817

2021-06-19 04:41:01,Up,Down,0.002585,0.000579

2021-06-19 04:43:01,Down,Up,0.012038,0.000291

2021-06-19 04:45:01,Up,Down,0.003763,3.2e-05

2021-06-19 04:47:01,Up,Down,0.004414,0.000301

2021-06-19 04:49:01,Up,Up,0.033557,0.000487

2021-06-19 04:51:01,Up,Up,0.002624,7e-06

2021-06-19 04:52:01,Down,Up,0.026893,0.000285

2021-06-19 04:54:01,Up,Up,0.010743,7e-06

2021-06-19 04:56:01,Up,Down,0.00187,0.001562

2021-06-19 04:59:01,Down,Up,0.005197,0.000431

2021-06-19 05:02:01,Down,Up,0.021577,0.00042

2021-06-19 05:05:01,Down,Down,0.010817,0.001683

2021-06-19 05:06:01,Down,Down,0.018765,8e-06

2021-06-19 05:07:01,Up,Down,0.013124,0.000354

2021-06-19 05:09:01,Up,Up,0.00322,0.000376

2021-06-19 05:10:01,Down,Down,0.001765,0.000299

2021-06-19 05:11:01,Down,Up,0.011648,0.000119

2021-06-19 05:13:01,Up,Down,0.017348,5e-06

2021-06-19 05:15:01,Up,Down,0.00535,0.000285

2021-06-19 05:17:01,Down,Down,0.002633,0.001289

2021-06-19 05:19:01,Up,Down,0.004553,0.001334

2021-06-19 05:21:01,Up,Down,0.022438,0.001172

2021-06-19 05:21:52,Up,Up,0.004846,8.7e-05

2021-06-19 05:23:01,Down,Up,0.003391,0.000142

2021-06-19 05:24:01,Up,Up,0.00631,0.000254

2021-06-19 05:25:01,Up,Up,0.012757,7.6e-05

2021-06-19 05:27:01,Down,Down,0.020186,0.000536

2021-06-19 05:28:01,Down,Up,0.002317,0.000206

2021-06-19 05:28:52,Down,Up,0.004572,0.000148

2021-06-19 05:31:01,Down,Down,0.005502,9.9e-05

2021-06-19 05:33:01,Down,Up,0.001558,2.4e-05

2021-06-19 05:35:01,Down,Down,0.018056,0.00079

2021-06-19 05:37:01,Down,Down,0.003652,0.000272

2021-06-19 05:39:01,Down,Down,0.003261,0.000929

2021-06-19 05:41:01,Up,Up,0.011405,0.001076

2021-06-19 05:43:01,Up,Down,0.003643,4.2e-05

2021-06-19 05:45:01,Down,Up,0.014016,0.000335

2021-06-19 05:47:01,Up,Down,0.000306,0.000833

2021-06-19 05:49:01,Up,Down,0.014099,0.000121

2021-06-19 05:51:01,Down,Up,0.028152,0.000579

2021-06-19 05:53:01,Up,Down,0.007804,0.000595

2021-06-19 05:55:01,Up,Up,0.000246,0.000207

2021-06-19 05:57:01,Up,Up,0.007775,5.1e-05

2021-06-19 05:58:01,Down,Up,0.004913,1.1e-05

2021-06-19 05:59:01,Up,Up,0.000606,0.000123

2021-06-19 06:01:01,Down,Up,0.001411,0.000769

2021-06-19 06:03:01,Down,Down,0.009049,0.001718

2021-06-19 06:05:01,Down,Up,0.010105,0.000441

2021-06-19 06:07:01,Up,Down,0.012412,0.000343

2021-06-19 06:09:01,Down,Up,0.005045,0.000943

2021-06-19 06:11:01,Up,Up,0.012698,0.000739

2021-06-19 06:13:01,Down,Down,0.009926,0.000636

2021-06-19 06:15:01,Up,Up,0.00023,0.000594

2021-06-19 06:17:01,Up,Up,0.00633,0.001011

2021-06-19 06:19:01,Up,Down,0.009761,0.000209

2021-06-19 06:21:01,Up,Up,0.000682,9.9e-05

2021-06-19 06:22:01,Up,Down,0.019098,4.7e-05

2021-06-19 06:22:52,Down,Down,0.019839,7e-06

2021-06-19 06:25:01,Up,Up,0.005808,0.000357

2021-06-19 06:27:01,Up,Down,0.019319,0.002825

